Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-05-31,9603.5498046875,9634.650390625,9589.900390625,9616.099609375,176100,0.0,0.0
2017-06-01,9657.150390625,9673.5,9637.4501953125,9653.5,162200,0.0,0.0
2017-06-05,9704.25,9709.2998046875,9630.2001953125,9637.150390625,145900,0.0,0.0
2017-06-06,9663.9501953125,9678.5498046875,9630.5498046875,9663.900390625,160700,0.0,0.0
2017-06-07,9682.400390625,9688.7001953125,9641.5,9647.25,155400,0.0,0.0
2017-06-08,9638.5498046875,9676.25,9608.150390625,9668.25,159000,0.0,0.0
2017-06-12,9615.5498046875,9654.150390625,9595.400390625,9606.900390625,129700,0.0,0.0
2017-06-13,9621.5498046875,9627.400390625,9580.4501953125,9618.150390625,181800,0.0,0.0
2017-06-14,9617.900390625,9621.400390625,9560.7998046875,9578.0498046875,171100,0.0,0.0
2017-06-15,9595.4501953125,9615.849609375,9565.5,9588.0498046875,213200,0.0,0.0
2017-06-19,9670.5,9676.5,9643.75,9653.5,159500,0.0,0.0
2017-06-20,9648.099609375,9650.4501953125,9608.599609375,9633.599609375,144000,0.0,0.0
2017-06-21,9642.650390625,9698.849609375,9617.75,9630.0,198800,0.0,0.0
2017-06-22,9643.25,9647.650390625,9565.2998046875,9574.9501953125,175200,0.0,0.0
